spk;lab;pos;lenSyllxpos;expectedShapes;expectedShape;observedShape;expectedStressPosition;observedStressPosition;expectedIsObserved;globalDeciles;stressSyllableDecile;meanUnstressSyllablesDeciles;F0shape;dBshape;durshape;syllF0;F0Deciles;stressSyllableDecileF0;meanUnstressSyllablesDecilesF0;sylldB;dBDeciles;stressSyllableDeciledB;meanUnstressSyllablesDecilesdB;sylldur;durDeciles;stressSyllableDeciledur;meanUnstressSyllablesDecilesdur;F0min;F0max;F0sd;syllmfa_equals_syllnuclei;startTime;endTime;file;ID
7_8;accelerate;VERB;4;oOoo;oOoo;ooOo;2;3;0;[18.3, 55.3, 61.3, 42.7];55.3;40.766666666666666;oOoo;oOoo;ooOo;[94.91018768165283, 105.65519665556643, 101.67579433556229, 93.54933313066965];[16, 54, 41, 12];54;23;[63.74357018836372, 70.37704656789785, 68.74315352663713, 67.57177860387245];[14, 75, 54, 41];75;36.333333333333336;[0.04000100000000373, 0.050003000000003794, 0.12000299999999697, 0.09999799999999937];[25, 37, 89, 75];37;63;92.01228942632149;95.29314886209337;1.0975621115771657;False;103.129997;103.889999;7_8.TextGrid;Docmdsr
7_8;era;NOUN;2;Oo;Oo;Oo;1;1;1;[56.7, 48];56.7;48;oO;Oo;Oo;[99.16097849934664, 118.84083774810662];[30, 75];30;75;[70.70277671373336, 67.9017035442801];[78, 44];78;44;[0.08000199999999325, 0.04000100000000373];[62, 25];62;25;118.30841483499253;119.33890704653737;0.4059499303817507;False;104.139999;104.379997;7_8.TextGrid;HgIhbuR
7_8;ai;INTJ;2;OO;OO;Oo;1;1;0;[78, 44];78;44;Oo;Oo;Oo;[225.37678746696582, 91.32209796583852];[98, 9];98;9;[67.28151694073075, 66.07835651078283];[38, 26];38;26;[0.20000499999999022, 0.18999500000001035];[98, 97];98;97;90.3110901171062;94.5490228847473;0.8889725971832266;False;104.629997;105.019997;7_8.TextGrid;ovBuICn
7_8;agents;NOUN;2;Oo;Oo;Oo;1;1;1;[55, 24.3];55;24.3;Oo;Oo;Oo;[96.42076582839542, 91.74652969837484];[22, 9];22;9;[68.14510586820833, 62.94230989030799];[47, 9];47;9;[0.1799999999999926, 0.0700080000000014];[96, 55];96;55;81.49221166961655;98.11219208117053;7.291401967894015;True;105.050003;105.800003;7_8.TextGrid;KzGC7gc
7_8;playing;VERB;2;Oo;Oo;Oo;1;1;1;[34.7, 33];34.7;33;Oo;Oo;oO;[100.41787278624955, 97.55058497901562];[35, 26];35;26;[69.37230845195202, 68.17793497814527];[64, 48];64;48;[0.02999900000000366, 0.04000100000000373];[5, 25];5;25;95.94516700514991;98.79175320080265;1.0977348259758748;False;105.870003;106.139999;7_8.TextGrid;bMt3US3
7_8;crucial;ADJ;2;Oo;Oo;Oo;1;1;1;[67.7, 57];67.7;57;oO;oO;Oo;[126.45923608263156, 145.8508043292546];[84, 91];84;91;[66.44784751427355, 67.68909269214453];[30, 42];30;42;[0.12000299999999697, 0.05999699999999564];[89, 38];89;38;143.129368650017;147.88657384604156;1.8730340146756934;True;106.199997;106.870003;7_8.TextGrid;KJfOyfp
7_8;evolution;NOUN;4;ooOo;ooOo;Oooo;3;1;0;[80.7, 36.7, 39.7, 35.3];39.7;50.9;Oooo;Oooo;Oooo;[221.9195699884205, 99.2319406027435, 95.98389078018303, 119.68856279443774];[97, 31, 20, 75];20;67.66666666666667;[70.02875929107914, 68.79291546662337, 68.22681490209172, 61.96418043838501];[72, 54, 49, 6];49;44;[0.09000399999999331, 0.04000100000000373, 0.06999999999999318, 0.04000100000000373];[73, 25, 50, 25];50;41;115.65747807247564;123.71964751639983;3.1868522906267;True;107.989998;108.629997;7_8.TextGrid;nCijZxY
7_8;information;NOUN;4;ooOo;ooOo;oOoo;3;2;0;[61.3, 63, 60.3, 41.7];60.3;55.333333333333336;Oooo;ooOo;OOoo;[138.9688273647708, 135.04100250688856, 120.90193369918565, 132.47887770871716];[89, 88, 77, 86];77;87.66666666666667;[66.41002167644203, 67.03081549420436, 67.41921721339189, 63.303433710936694];[29, 35, 40, 11];40;25;[0.08999699999999677, 0.08999699999999677, 0.08000200000000746, 0.049995999999993046];[66, 66, 64, 28];64;53.333333333333336;129.4082516948479;136.8155996709863;3.2453488566367947;False;109.730003;110.349998;7_8.TextGrid;oEYnY49
7_8;provider;NOUN;3;oOo;oOo;oOo;2;2;1;[62, 71, 55.7];71;58.85;Ooo;Ooo;ooO;[114.0545291835291, 109.50193089408505, 105.477970158416];[71, 64, 53];64;62;[69.10810753053963, 68.89579394658205, 64.6864510656285];[61, 57, 17];57;39;[0.07000000000000739, 0.13000499999999704, 0.20000399999999274];[54, 92, 97];92;75.5;104.48770948892117;106.46823082791082;0.6144405866445573;True;110.349998;110.980003;7_8.TextGrid;55iqUYZ
7_8;purpose;NOUN;2;Oo;Oo;oO;1;2;0;[72.3, 74];72.3;74;oO;oO;OO;[106.37101084139455, 108.55387676552799];[57, 61];57;61;[70.72940696722168, 70.79306926188225];[78, 79];78;79;[0.1100009999999969, 0.1100009999999969];[82, 82];82;82;102.61707510552608;114.53960243967686;4.464212349193813;True;111.540001;112.050003;7_8.TextGrid;PfC3XrD
