spk;lab;pos;lenSyllxpos;expectedShapes;expectedShape;observedShape;expectedStressPosition;observedStressPosition;expectedIsObserved;globalDeciles;stressSyllableDecile;meanUnstressSyllablesDeciles;F0shape;dBshape;durshape;syllF0;F0Deciles;stressSyllableDecileF0;meanUnstressSyllablesDecilesF0;sylldB;dBDeciles;stressSyllableDeciledB;meanUnstressSyllablesDecilesdB;sylldur;durDeciles;stressSyllableDeciledur;meanUnstressSyllablesDecilesdur;F0min;F0max;F0sd;syllmfa_equals_syllnuclei;startTime;endTime;file;ID
7_8;generating;VERB;4;Oooo;Oooo;oOoo;1;2;0;[52, 68.3, 51.7, 41];52;53.666666666666664;oooO;Oooo;oOoo;[97.4498714046916, 104.30577864104451, 104.84085558945571, 107.40522640076243];[26, 50, 51, 59];26;53.333333333333336;[70.4656610754101, 69.30010301572217, 69.07971485027527, 66.8527259647151];[77, 64, 60, 33];77;52.333333333333336;[0.07000000000000028, 0.129999999999999, 0.0600000000000005, 0.049999999999998934];[53, 91, 44, 31];53;55.333333333333336;104.18149851182328;109.06605966867383;1.9667272679133765;False;12.62;13.21;7_8.TextGrid;eQN0k5Q
7_8;answers;NOUN;2;Oo;Oo;Oo;1;1;1;[58.3, 44.3];58.3;44.3;OO;Oo;oO;[94.93157997590498, 94.98609043056479];[17, 17];17;17;[70.77163505554574, 66.38277534186209];[79, 29];79;29;[0.10999999999999943, 0.11999999999999922];[79, 87];79;87;94.35494395548233;95.5222869872219;0.3431674444392004;False;13.21;13.71;7_8.TextGrid;DzrbB5Y
7_8;solely;ADV;3;Ooo;Ooo;Ooo;1;1;1;[73, 43.3, 67.7];73;55.5;ooO;Ooo;Ooo;[113.88420986877682, 118.83909156383866, 129.15894396992465];[70, 75, 86];70;80.5;[70.84263448015724, 68.82534080241336, 70.16464874751807];[80, 55, 74];80;64.5;[0.08999999999999986, 0.009999999999999787, 0.05999999999999872];[69, 0, 43];69;21.5;128.03991815457047;130.95888338458158;1.1586032826682016;False;13.71;14.12;7_8.TextGrid;bTqCMRL
7_8;knowledge;NOUN;2;Oo;Oo;Oo;1;1;1;[36, 31];36;31;Oo;Oo;oO;[87.12933133393436, 82.94332170122945];[2, 0];2;0;[66.44767119236377, 62.19465546006582];[30, 6];30;6;[0.09999999999999964, 0.11999999999999922];[76, 87];76;87;81.2275038685501;85.08832755578025;1.45731181990287;True;15.26;15.9;7_8.TextGrid;zYiwtxx
7_8;refers;VERB;2;oO;oO;oO;2;2;1;[14.3, 81.3];81.3;14.3;oO;oO;oO;[99.72927621755628, 113.45026730052064];[32, 69];69;32;[61.28327406514483, 71.25265955560454];[3, 82];82;3;[0.030000999999998612, 0.14000099999999804];[8, 93];93;8;111.35913674272905;114.58039337107942;0.8718186956175906;False;17.43;17.879999;7_8.TextGrid;ZxLCDXp
7_8;mechanism;NOUN;4;Oooo;Oooo;oooO;1;4;0;[18.3, 39, 37.3, 46.3];18.3;40.86666666666667;oooO;oooO;oooO;[100.48757130706673, 101.2684586158659, 99.46449003029744, 104.05224959788659];[35, 39, 32, 49];35;40;[63.628851685540006, 65.858288030908, 66.11986790906715, 66.49750458213762];[13, 25, 26, 31];13;27.333333333333332;[0.030000000000001137, 0.07000000000000028, 0.07000199999999879, 0.08000000000000185];[7, 53, 54, 59];7;55.333333333333336;102.00036307787421;104.9682954756051;0.9751482614425422;False;18.1;18.75;7_8.TextGrid;CZlIMTb
7_8;allows;VERB;2;oO;oO;oO;2;2;1;[40, 48.3];48.3;40;Oo;oO;oO;[96.31968180012755, 91.89634320433335];[22, 10];10;22;[66.44749162586939, 67.18473733802495];[29, 37];37;29;[0.08999999999999986, 0.21000100000000188];[69, 98];98;69;84.90626179031678;99.90450774847223;4.384960994316801;True;18.98;19.48;7_8.TextGrid;HuOqlss
7_8;model;NOUN;2;Oo;Oo;Oo;1;1;1;[70, 60.7];70;60.7;oO;Oo;Oo;[106.28668246740776, 124.78767842102906];[57, 82];57;82;[73.4098131366797, 72.53806927082682];[96, 92];96;92;[0.07999900000000082, 0.030000999999998612];[57, 8];57;8;119.95470421545488;128.29708602969842;3.58645369293273;True;20.620001;20.940001;7_8.TextGrid;ziT9C24
7_8;beyond;ADP;2;oO/oO;oO;oO;2;2;1;[60.7, 65.7];65.7;60.7;Oo;oO;oO;[102.26659795284456, 97.0238197821639];[44, 24];24;44;[71.53553479644019, 71.86119872319912];[84, 87];87;84;[0.07000199999999879, 0.11999899999999997];[54, 86];86;54;94.170483704347;103.42294338449985;2.8465952734265443;False;21.4;21.719999;7_8.TextGrid;jbGMO5g
7_8;simply;ADV;2;Oo;Oo;oO;1;2;0;[34.7, 54.7];34.7;54.7;oO;oO;oO;[98.03540065100697, 104.97562506959079];[28, 52];28;52;[66.94820583254818, 69.81282574782392];[34, 69];34;69;[0.059999000000001246, 0.05999999999999872];[42, 43];42;43;102.57047512309614;106.84321093905145;1.5461439004664206;True;21.719999;22.15;7_8.TextGrid;5VTJv0w
7_8;generating;VERB;4;Oooo;Oooo;oOoo;1;2;0;[16, 32.3, 16.7, 3.7];16;17.566666666666666;Oooo;Oooo;oOoo;[93.95338842710541, 91.1449803550821, 89.29036882703701, 86.52125374996146];[14, 8, 4, 1];14;4.333333333333333;[64.46462118263472, 63.305343894103636, 63.30718875130844, 59.806077472303336];[15, 11, 12, 3];15;8.666666666666666;[0.040001000000000175, 0.10999800000000093, 0.050000999999998186, 0.030000000000001137];[19, 78, 34, 7];19;39.666666666666664;84.71641971869369;88.32608778122925;1.5533538101707804;False;22.15;22.66;7_8.TextGrid;oGoISk7
7_8;enables;VERB;3;oOo;oOo;oOo;2;2;1;[78.3, 88, 63.3];88;70.8;ooO;oOo;oOo;[118.60912235385392, 132.91323492677927, 157.75577645979064];[74, 87, 95];87;84.5;[72.55760648403621, 74.42987073694168, 73.2689320738985];[92, 99, 95];99;93.5;[0.08999999999999986, 0.10999800000000093, 0.010000999999999038];[69, 78, 0];78;34.5;156.44563716875678;159.06591575082447;1.8528167539779408;True;24.629999;25.16;7_8.TextGrid;jePiJfc
7_8;model;NOUN;2;Oo;Oo;Oo;1;1;1;[70, 36.7];70;36.7;oO;Oo;Oo;[99.19697888190481, 100.84030817054756];[30, 37];30;37;[72.76991569166523, 69.47390647173825];[93, 65];93;65;[0.12000099999999847, 0.030000999999998612];[87, 8];87;8;98.10424911846033;103.51565992610436;2.33250475293562;True;25.290001;25.719999;7_8.TextGrid;aaXyrrV
7_8;interact;VERB;3;ooO;ooO;Ooo;3;1;0;[73.3, 61, 42.3];42.3;67.15;Ooo;oOo;oOo;[154.37535069640757, 100.95642243148521, 93.67436174852531];[94, 38, 12];12;66;[68.93454945546073, 70.03798056618098, 69.68918369587323];[57, 73, 67];67;65;[0.08999999999999986, 0.09000100000000089, 0.06999899999999926];[69, 72, 48];48;70.5;92.57127610184003;95.57280481187578;1.0892222817854154;True;25.950001;26.58;7_8.TextGrid;Is2K1b6
7_8;external;ADJ;3;oOo;oOo;ooO;2;3;0;[20.7, 35.7, 48];35.7;34.35;ooO;ooO;ooO;[100.3583412625987, 118.49000180419884, 124.68315219713976];[34, 74, 81];74;57.5;[64.5758945775556, 65.31858129632309, 67.84455748027473];[16, 21, 44];21;30;[0.03999900000000167, 0.03999900000000167, 0.040001000000000175];[12, 12, 19];12;15.5;123.13922736543037;125.2678686541855;0.8755402619947915;True;26.870001;27.32;7_8.TextGrid;zUULR9T
7_8;environments;NOUN;4;oOoo;oOoo;oOoo;2;2;1;[39, 66.7, 27, 8.3];66.7;24.766666666666666;Oooo;oOoo;oOoo;[105.73811809009445, 98.41607101930498, 91.11449080254539, 86.68401001055987];[56, 29, 8, 1];29;21.666666666666668;[66.20335582672534, 70.83978256251088, 66.50724859145396, 61.74233858483101];[27, 80, 31, 5];80;21;[0.050000999999998186, 0.129999999999999, 0.059999000000001246, 0.040001000000000175];[34, 91, 42, 19];91;31.666666666666668;86.12019864982713;87.00134882622196;0.35439369815627436;False;27.32;28.290001;7_8.TextGrid;pSgPJVG
7_8;retrieve;VERB;2;oO;oO;oO;2;2;1;[13, 28];28;13;oO;oO;Oo;[92.64783544215756, 101.27058883461002];[11, 39];39;11;[64.64166320196156, 67.72813504476466];[16, 43];43;16;[0.03999900000000167, 0.029998000000002634];[12, 2];2;12;99.74604259142059;102.52521780513658;1.409111499383442;True;28.440001;28.91;7_8.TextGrid;5uDUytf
7_8;information;NOUN;4;ooOo;ooOo;oOoo;3;2;0;[33, 67, 62, 55.3];62;51.766666666666666;oOoo;oOoo;ooOo;[97.22396070849014, 122.44097006518422, 110.12820227193139, 112.06901635969014];[25, 78, 65, 67];65;56.666666666666664;[65.21393820496012, 68.86670689616898, 67.96203764391252, 66.1521609193016];[21, 56, 45, 27];45;34.666666666666664;[0.07000000000000028, 0.08999800000000135, 0.1000009999999989, 0.09000100000000089];[53, 67, 76, 72];76;64;110.877316443658;113.33364433531526;0.7844033603082156;False;28.91;29.65;7_8.TextGrid;EB7aJT2
7_8;integrate;VERB;3;Ooo;Ooo;oOo;1;2;0;[30.3, 77.3, 58.3];30.3;67.8;oOo;oOo;oOo;[97.17348792363407, 108.25758254516006, 102.59970441906508];[25, 59, 44];25;51.5;[68.15160174257709, 71.89171749309631, 70.03679258617193];[47, 87, 72];47;79.5;[0.040001000000000175, 0.11999899999999997, 0.08000000000000185];[19, 86, 59];19;72.5;101.4558200599582;104.9953464402163;1.344181889726783;True;31.139999;31.75;7_8.TextGrid;ahW7DOJ
7_8;information;NOUN;4;ooOo;ooOo;oOoo;3;2;0;[25.3, 62.3, 53, 28.3];53;38.63333333333333;oooO;oOoo;ooOo;[100.62019480025887, 109.80082760508638, 102.11024782853879, 111.1304215262758];[37, 65, 43, 66];43;56;[66.34081671237307, 69.75304851785788, 69.00321970594457, 62.79425391539367];[28, 69, 59, 8];59;35;[0.03999899999999812, 0.07000000000000028, 0.07999800000000334, 0.039996999999999616];[11, 53, 57, 11];57;25;110.17616433895549;112.46188742823942;1.0064995882846446;False;31.92;32.59;7_8.TextGrid;8Zz5h7S
7_8;into;ADP;2;Oo/oO/oo;oo;oO;0;2;0;[40.3, 48];48;40.3;Oo;OO;oO;[101.5668181174037, 100.53889216700121];[40, 36];36;40;[67.1379981786383, 67.1215187538715];[36, 36];36;36;[0.060001999999997224, 0.09000100000000089];[45, 72];72;45;96.93129684041247;103.22792633520329;2.154871965145531;True;32.59;32.939999;7_8.TextGrid;yKKqm1A
7_8;conversations;NOUN;4;ooOo;ooOo;ooOo;3;3;1;[32.3, 48.3, 64.3, 22.7];64.3;34.43333333333333;ooOo;oOoo;ooOo;[108.3500965068011, 101.01076725357484, 125.158548478046, 99.78156118448908];[60, 38, 82, 33];82;43.666666666666664;[65.13978098765955, 67.50051156641574, 67.08578798997485, 61.66662732133236];[20, 40, 35, 5];35;21.666666666666668;[0.04000099999999662, 0.0899999999999963, 0.09999899999999684, 0.04999999999999716];[17, 67, 76, 30];76;38;95.68397287972408;104.12818000062505;3.510015774926039;True;33.029999;33.970001;7_8.TextGrid;UjKvIew
7_8;context;NOUN;2;Oo;Oo;oO;1;2;0;[22.7, 29.3];22.7;29.3;Oo;Oo;oO;[99.14144700228802, 97.77110256999173];[30, 27];30;27;[62.87672526882133, 61.460725420976516];[8, 4];8;4;[0.04999899999999968, 0.07999800000000334];[30, 57];30;57;92.56740529231084;109.77839795251768;7.164191429441794;False;33.970001;34.689999;7_8.TextGrid;wDiSyXu
7_8;produce;VERB;2;oO/Oo;oO;oO;2;2;1;[41.3, 52.3];52.3;41.3;Oo;oO;oO;[96.6731538533082, 96.2515838652181];[24, 21];21;24;[67.15076513125634, 68.38612255082423];[37, 50];50;37;[0.08000200000000035, 0.11999899999999997];[63, 86];86;63;94.92725545023946;99.23531305024368;1.610421588877677;True;34.82;35.419998;7_8.TextGrid;Be3Z0BV
7_8;sophisticated;ADJ;5;oOooo;oOooo;ooooO;2;5;0;[61, 69.7, 41.7, 72.7, 84.3];69.7;64.925;oOooo;ooooO;oooOo;[123.94074978181463, 130.11492175975772, 123.187048179822, 113.76116370342208, 115.26376943259041];[81, 86, 80, 69, 72];86;75.5;[68.12116712092417, 67.63032831626678, 53.42421664528375, 68.96546630563579, 73.32481292825351];[47, 41, 0, 59, 95];41;50.25;[0.07000399999999729, 0.1100009999999969, 0.06000099999999975, 0.12999700000000303, 0.11999899999999997];[55, 82, 45, 90, 86];82;69;109.57730154359314;159.29267289389924;13.882447388866444;False;35.900002;37.029999;7_8.TextGrid;NW8T6rq
7_8;accurate;ADJ;3;Ooo;Ooo;oOo;1;2;0;[52.7, 60, 21.7];52.7;40.85;oOo;Ooo;Ooo;[95.6655991250939, 110.09515970023959, 109.2599838592369];[18, 65, 62];18;63.5;[68.8402695859215, 67.94601199253286, 57.898954335083225];[56, 45, 1];56;23;[0.11999800000000249, 0.09000099999999378, 0.029998000000006186];[84, 70, 2];84;36;107.95561035049276;110.56435736798103;1.3043735087441348;False;37.48;37.919998;7_8.TextGrid;K6IuYUv
7_8;responses;NOUN;3;oOo;oOo;oOo;2;2;1;[28, 32, 19];32;23.5;oOo;Ooo;oOo;[93.10794689532418, 95.85181617749596, 87.89241342277651];[12, 20, 3];20;7.5;[67.70010662828905, 64.03956592297412, 61.6601231992663];[42, 14, 4];14;23;[0.04999899999999968, 0.08000199999999325, 0.06999999999999318];[30, 62, 50];62;40;85.02534920508732;98.73302107331358;5.076423519280839;True;37.919998;38.830002;7_8.TextGrid;0qI1gBT
7_8;allows;VERB;2;oO;oO;Oo;2;1;0;[58, 50.7];50.7;58;Oo;Oo;oO;[104.38908451097124, 92.39400482211721];[50, 10];10;50;[69.98469575675328, 67.78394590794352];[71, 43];43;71;[0.07000000000000028, 0.25999799999999595];[53, 99];99;53;90.42511359751566;95.46878368057436;1.4803212049582517;True;40.380001;40.880001;7_8.TextGrid;QHE8HtU
7_8;human;ADJ;2;Oo;Oo;Oo;1;1;1;[19.7, 15.7];19.7;15.7;Oo;Oo;oO;[91.93335549620112, 87.60991087737642];[10, 2];10;2;[65.78942896110374, 61.98577499632748];[24, 6];24;6;[0.04000100000000373, 0.05999700000000274];[25, 39];25;39;87.04323053457871;88.1749855748463;0.3833252924022813;True;43.279999;43.639999;7_8.TextGrid;Mh0B368
7_8;finding;NOUN;2;Oo;Oo;Oo;1;1;1;[85.3, 82.7];85.3;82.7;oO;oO;Oo;[143.30734315304954, 154.89896328544324];[90, 95];90;95;[71.42540222366574, 72.19370380756706];[84, 90];84;90;[0.1100009999999969, 0.08000200000000035];[82, 63];82;63;148.95428085770934;159.27840782638108;3.828255753544317;True;44.560001;44.950001;7_8.TextGrid;fbia6mO
7_8;using;VERB;2;Oo;Oo;oO;1;2;0;[31.7, 50];31.7;50;oO;oO;oO;[103.87344998447801, 114.82339747497419];[48, 71];48;71;[67.79505850131433, 69.20977165987263];[43, 62];43;62;[0.029998999999996556, 0.04000099999999662];[4, 17];4;17;112.95024768925474;115.50911285119062;1.0587299930738867;True;45.110001;45.32;7_8.TextGrid;ux6R8zA
7_8;specific;ADJ;3;oOo;oOo;Ooo;2;1;0;[56.3, 26, 55];26;55.65;ooO;ooO;Ooo;[104.14769840632593, 113.76233856279069, 115.77284581219428];[49, 70, 72];70;60.5;[70.37613959152964, 62.745687825154285, 70.44507379805646];[75, 7, 76];7;75.5;[0.06000099999999975, 0.02999799999999908, 0.04000099999999662];[45, 1, 17];1;31;110.07202002965836;123.48878346987073;5.5584996225734775;False;45.32;45.93;7_8.TextGrid;CUPPb3l
7_8;needed;VERB;2;Oo;Oo;oO;1;2;0;[26.3, 74.3];26.3;74.3;oO;oO;oO;[92.91592704108864, 115.25218587895898];[11, 72];11;72;[64.40988620255676, 69.43401095518283];[15, 65];15;65;[0.07000000000000028, 0.11999899999999997];[53, 86];53;86;91.40407989184706;147.58231381663032;25.015986964293155;True;46.849998;47.189999;7_8.TextGrid;gMoBzjZ
7_8;external;ADJ;3;oOo;oOo;oOo;2;2;1;[47.7, 68.7, 64.3];68.7;56.0;ooO;Ooo;oOo;[103.51104504072937, 123.13651608372629, 125.87243333563184];[47, 79, 83];79;65;[68.88846540518634, 68.33165586870491, 68.78288285477896];[57, 50, 54];50;55.5;[0.05999700000000274, 0.10000200000000348, 0.07999799999999624];[39, 77, 56];77;47.5;125.31741148776854;126.61575914074292;0.5297351828570561;True;48.150002;48.700001;7_8.TextGrid;y7A5Pg4
7_8;knowledge;NOUN;2;Oo;Oo;Oo;1;1;1;[48, 39];48;39;Oo;Oo;Oo;[91.84829650743599, 86.02631311165571];[9, 1];9;1;[69.25602370937413, 68.29050336689312];[63, 49];63;49;[0.09000100000000089, 0.0899999999999963];[72, 67];72;67;83.50916808691284;93.66538393056274;3.2148341181555087;False;48.700001;49.279999;7_8.TextGrid;MyhJUdo
7_8;complex;ADJ;2;Oo/oO;Oo;Oo;1;1;1;[65.3, 55];65.3;55;Oo;Oo;oO;[104.48207898488047, 100.55264676454358];[50, 36];50;36;[73.32594564751686, 70.43988324053113];[96, 76];96;76;[0.06999999999999318, 0.07000000000000028];[50, 53];50;53;99.66997592683454;102.5948983139488;0.9979164659587171;False;50.07;50.73;7_8.TextGrid;V2JzRVg
7_8;problems;NOUN;2;Oo;Oo;Oo;1;1;1;[41.7, 3.7];41.7;3.7;Oo;Oo;Oo;[89.36708498012338, 77.330845357463];[5, 0];5;0;[67.91331135365739, 62.63795352293954];[45, 7];45;7;[0.09999799999999937, 0.029998999999996556];[75, 4];75;4;76.85534613293424;77.80634458199177;0.47549922452876103;True;50.73;51.580002;7_8.TextGrid;OSAy1pG
7_8;biggest;ADJ;2;Oo;Oo;Oo;1;1;1;[86.7, 74];86.7;74;oO;Oo;Oo;[120.0836227821529, 177.11313155252236];[76, 96];76;96;[73.81018045381254, 71.02271387347706];[98, 81];98;81;[0.11999899999999997, 0.060001999999997224];[86, 45];86;45;173.85755229832384;179.79912394361116;2.2750419835663656;True;53.16;53.57;7_8.TextGrid;3rn3IqX
7_8;advantage;NOUN;3;oOo;oOo;Ooo;2;1;0;[79.7, 75.7, 74];75.7;76.85;ooO;oOo;oOo;[142.68569086915167, 100.48763426663349, 184.87842538446213];[90, 36, 97];36;93.5;[71.85868962183345, 73.86509028909043, 68.1101519015886];[86, 98, 46];98;66;[0.08000200000000035, 0.1399990000000031, 0.10999999999999943];[63, 93, 79];93;71;87.97289030863057;407.6553913760031;139.0559286720021;False;53.57;54.240002;7_8.TextGrid;yOr3ZOn
7_8;significant;ADJ;4;oOoo;oOoo;oooO;2;4;0;[73, 58.3, 58, 84];58.3;71.66666666666667;oooO;oooO;Oooo;[111.20686921302293, 102.09125928780301, 139.0730412113051, 156.7604945656549];[67, 42, 89, 95];42;83.66666666666667;[69.57181357351465, 71.73154569459338, 69.83732005535906, 73.18382169819999];[66, 85, 70, 94];85;76.66666666666667;[0.11999899999999997, 0.06999900000000281, 0.04000000000000625, 0.08000200000000035];[86, 48, 15, 63];48;54.666666666666664;151.9638809599953;164.71697023983492;4.5982292635053925;True;56.73;57.66;7_8.TextGrid;bO4K6Xf
7_8;enhancement;NOUN;3;oOo;oOo;ooO;2;3;0;[50.3, 48, 59];48;54.65;ooO;Ooo;oOo;[101.51921306632384, 96.56970264293422, 112.16471960151132];[40, 23, 68];23;54;[71.07528155070648, 67.99296785670974, 69.70131543778533];[81, 46, 68];46;74.5;[0.04999899999999968, 0.09999799999999937, 0.05999800000000022];[30, 75, 41];75;35.5;111.43717280201213;113.03069254908694;0.5514106902909145;True;57.860001;58.580002;7_8.TextGrid;ZziD6Ph
7_8;reasoning;NOUN;3;Ooo;Ooo;Ooo;1;1;1;[50.3, 35, 35.7];50.3;35.35;ooO;Ooo;Ooo;[109.42247104520807, 117.41808550669634, 121.61325062794853];[63, 73, 78];63;75.5;[66.95073056416386, 59.67315627283421, 64.88005299396767];[35, 2, 18];35;10;[0.07000000000000028, 0.04999899999999968, 0.039996999999999616];[53, 30, 11];53;20.5;119.66794364869469;123.36688925152329;1.7469746871224614;False;59.52;59.93;7_8.TextGrid;E643gZM
7_8;capabilities;NOUN;5;ooOoo;ooOoo;ooOoO;3;3;0;[39.3, 28.7, 58, 52, 58];58;44.5;ooooO;ooOoo;ooooO;[106.49247942844559, 101.06792252571377, 105.56991871378344, 113.9893490210669, 119.84850524436933];[58, 38, 54, 70, 76];54;60.5;[65.67714508047524, 65.56888342759568, 72.27514337469181, 68.8476027511085, 63.37872538933894];[23, 23, 90, 56, 12];90;28.5;[0.050003000000003794, 0.04000100000000373, 0.04999999999999716, 0.04999899999999968, 0.11999899999999997];[37, 25, 30, 30, 86];30;44.5;116.47017167575646;121.74777816615182;1.6012216946614592;False;59.93;60.799999;7_8.TextGrid;zG9KsSp
7_8;reliability;NOUN;6;oooOoo;oooOoo;oooOoo;4;4;1;[18, 45.3, 29, 48.3, 17.7, 40.7];48.3;30.14;oooOoo;oooOoo;oooooO;[90.7613150657407, 90.20783709695891, 89.1467317809616, 97.62626600259924, 88.82443009793818, 90.79658472266746];[6, 6, 4, 27, 3, 7];27;5.2;[66.4965187793815, 68.50104655611793, 67.67161824362873, 70.73670335061516, 65.05337243300265, 65.00094056408331];[31, 51, 42, 78, 20, 19];78;32.6;[0.04000099999999662, 0.10999999999999943, 0.05999800000000022, 0.05999799999999311, 0.04999899999999968, 0.1799960000000027];[17, 79, 41, 40, 30, 96];40;52.6;88.57352866557795;93.28002375259166;1.2340468061556775;False;61.009998;61.919998;7_8.TextGrid;FklIFfo
7_8;instance;NOUN;2;Oo;Oo;Oo;1;1;1;[78.7, 21.7];78.7;21.7;Oo;Oo;Oo;[125.0869309587896, 93.85797523432684];[82, 13];82;13;[71.41740589785627, 62.769030947720225];[84, 7];84;7;[0.09000000000000341, 0.06000099999999975];[70, 45];70;45;85.44148468584646;99.312756386423;4.918719003271658;False;62.919998;63.66;7_8.TextGrid;PwEgc1b
7_8;extended;ADJ;3;oOo;oOo;ooO;2;3;0;[33.7, 63.7, 84.3];63.7;59.0;ooO;ooO;ooO;[104.58341868786792, 105.66866252785773, 241.2365814203179];[51, 54, 98];54;74.5;[63.500926166110304, 70.38271268931214, 72.43972900552812];[13, 75, 91];75;52;[0.050003000000003794, 0.08000199999999325, 0.08000200000000746];[37, 62, 64];62;50.5;107.72376744408993;468.93898530412173;169.69849297644072;True;65.139999;65.75;7_8.TextGrid;duEclUn
7_8;thinking;NOUN;2;Oo;Oo;Oo;1;1;1;[65.7, 36];65.7;36;oO;Oo;Oo;[134.2874062428116, 136.20803498350543];[87, 88];87;88;[69.17266512146735, 61.8400233195897];[61, 5];61;5;[0.06999900000000991, 0.04000000000000625];[49, 15];49;15;131.08002811868616;144.9600092284874;5.895143754856266;True;65.75;66.290001;7_8.TextGrid;Nv069kE
7_8;complex;ADJ;2;Oo/oO;Oo;Oo;1;1;1;[38.3, 34.7];38.3;34.7;Oo;oO;oO;[106.58069180449878, 99.23265235577446];[58, 31];58;31;[65.08692973723238, 66.73370434204024];[20, 32];20;32;[0.050003000000003794, 0.05999800000000732];[37, 41];37;41;98.02354251894373;101.05924605612013;1.0997834253327432;True;67.870003;68.379997;7_8.TextGrid;uny7SRQ
7_8;questions;NOUN;2;Oo;Oo;Oo;1;1;1;[59.7, 16];59.7;16;Oo;Oo;Oo;[134.0656670683391, 94.76274089191787];[87, 16];87;16;[67.27025699481554, 65.50022370527964];[38, 22];38;22;[0.07000000000000739, 0.039992999999995504];[54, 10];54;10;91.99490254446648;98.61184338614277;3.0190095629020983;True;68.379997;69.139999;7_8.TextGrid;fyl25V0
7_8;necessary;ADJ;4;Oooo;Oooo;oooO;1;4;0;[47, 39.3, 65.3, 94];47;66.2;ooOo;oooO;oooO;[134.41536491320971, 143.58258723044247, 154.1432194357525, 145.94788053648998];[88, 91, 94, 92];88;92.33333333333333;[66.31194877419236, 59.642350525712125, 71.8482024808947, 73.36639297739347];[28, 2, 86, 96];28;61.333333333333336;[0.04000100000000373, 0.04000100000000373, 0.04000099999998952, 0.1499939999999924];[25, 25, 16, 94];25;45;130.5736647340847;149.48239579052458;5.77910312424241;False;71.459999;72.059998;7_8.TextGrid;pCu3CJz
7_8;access;VERB;2;Oo;Oo;oO;1;2;0;[32.3, 74.3];32.3;74.3;Oo;oO;oO;[104.33259086472741, 101.73863106540234];[50, 41];50;41;[65.44399918090224, 72.68416330156103];[22, 93];22;93;[0.04000100000000373, 0.12000299999999697];[25, 89];25;89;99.74568885364732;104.74204137925017;1.704371461433015;True;72.339996;72.959999;7_8.TextGrid;9BKbGle
7_8;searches;NOUN;2;Oo;Oo;Oo;1;1;1;[59.3, 58];59.3;58;oO;Oo;Oo;[100.40712872875314, 113.28599199166182];[35, 69];35;69;[69.07958159078451, 66.65776209014025];[60, 32];60;32;[0.11999500000000296, 0.09000399999999331];[83, 73];83;73;111.80252807991819;114.13173764449;0.6886043721878587;True;73.290001;73.980003;7_8.TextGrid;wjFgV9t
7_8;specific;ADJ;3;oOo;oOo;oOo;2;2;1;[27.7, 68.3, 45];68.3;36.35;OoO;oOo;oOo;[121.41385657065504, 119.74643758177581, 121.15472632101982];[77, 75, 77];75;77;[57.33047558530967, 71.31299920150089, 66.85965760164332];[1, 83, 33];83;17;[0.02999900000000366, 0.060006000000001336, 0.04000100000000373];[5, 47, 25];47;15;120.60526474277931;121.70418789926032;0.4343875184976999;True;75.279999;75.910004;7_8.TextGrid;JDJW1Mz
7_8;systems;NOUN;2;Oo;Oo;Oo;1;1;1;[53, 31];53;31;Oo;Oo;Oo;[109.31671773109102, 96.26379027888896];[63, 21];63;21;[68.08300836624146, 66.92447065294712];[46, 34];46;34;[0.06999999999999318, 0.05999699999999564];[50, 38];50;38;95.07629642778153;97.05613816001568;0.7273479570817898;True;76.190002;76.720001;7_8.TextGrid;qsh9hk9
7_8;retrieve;VERB;2;oO;oO;oO;2;2;1;[20.3, 31.7];31.7;20.3;oO;oO;Oo;[92.40234036034931, 103.35692934163922];[11, 47];47;11;[63.638222258454405, 67.37411449235921];[13, 39];39;13;[0.050003000000003794, 0.0300060000000002];[37, 9];9;37;103.08303196287518;103.72217705897125;0.31413378221389693;False;76.889999;77.349998;7_8.TextGrid;1SAndrT
7_8;latest;ADJ;2;Oo;Oo;oO;1;2;0;[69.3, 72];69.3;72;oO;Oo;Oo;[108.75792651272891, 127.37239033105266];[61, 84];61;84;[71.08143941337869, 69.84450629758422];[82, 70];82;70;[0.0899959999999993, 0.08000199999999325];[65, 62];65;62;120.44194684910661;130.38185189094781;3.322859966873775;True;77.440002;77.870003;7_8.TextGrid;h4rJ5IW
7_8;information;NOUN;4;ooOo;ooOo;oOoo;3;2;0;[45.3, 72.7, 64, 55.3];64;57.766666666666666;oooO;oOoo;ooOo;[121.94517405000074, 112.39986891315814, 106.66739545472386, 123.67168457427458];[78, 68, 58, 80];58;75.33333333333333;[65.02599737943454, 70.33268528284982, 68.56763601876355, 65.43392427201955];[19, 75, 52, 22];52;38.666666666666664;[0.05999700000000985, 0.09999799999999937, 0.1100009999999969, 0.08000200000000746];[39, 75, 82, 64];82;59.333333333333336;120.49874668898008;127.63784213449424;2.097085821485974;True;77.870003;78.699997;7_8.TextGrid;GDiILEa
